ma_don,san_pham,so_luong,don_gia,kenh,tinh_tp,ngay,thanh_tien
DH00848,Tai nghe,1,690000,Online,TP. Hồ Chí Minh,2024-01-23,690000
DH00686,Ổ cứng SSD,1,1450000,Online,Đà Nẵng,2024-06-14,1450000
DH00854,Ổ cứng SSD,2,1450000,Online,TP. Hồ Chí Minh,2024-12-22,2900000
DH00130,Tai nghe,4,690000,Cửa hàng,Hà Nội,2024-03-30,2760000
DH00465,Tai nghe,4,690000,Online,Cần Thơ,2024-06-29,2760000
DH00647,Tai nghe,2,690000,Online,Khánh Hòa,2024-04-17,1380000
DH00885,Chuột,5,250000,Online,Hà Nội,2024-05-11,1250000
DH00881,Bàn phím,5,450000,Online,Bình Dương,2024-10-07,2250000
DH00377,Ổ cứng SSD,1,1450000,Online,Không rõ,2024-05-15,1450000
DH00653,Ổ cứng SSD,4,1450000,Online,Đà Nẵng,2024-06-28,5800000
DH00067,Webcam,3,890000,Online,Đồng Nai,2024-12-29,2670000
DH00611,Tai nghe,4,690000,Online,Bình Dương,2024-04-16,2760000
DH00888,Màn hình,2,3200000,Cửa hàng,Lâm Đồng,2024-06-10,6400000
DH00598,Tai nghe,2,690000,Cửa hàng,Cần Thơ,2024-10-24,1380000
DH00701,Tai nghe,2,690000,Online,Hà Nội,2024-01-24,1380000
DH00594,Màn hình,3,3200000,Online,Lâm Đồng,2024-08-27,9600000
DH00478,Tai nghe,2,690000,Cửa hàng,Khánh Hòa,2024-06-18,1380000
DH00455,Màn hình,4,3200000,Online,Không rõ,2024-09-04,12800000
DH00178,Bàn phím,4,450000,Online,Lâm Đồng,2024-11-24,1800000
DH00184,Tai nghe,3,690000,Online,Bình Dương,2024-12-17,2070000
DH00549,Tai nghe,1,690000,Cửa hàng,Khánh Hòa,2024-04-26,690000
DH00026,Bàn phím,4,450000,Online,Lâm Đồng,2024-08-21,1800000
DH00370,Màn hình,1,3200000,Online,Hà Nội,2024-01-06,3200000
DH00240,Tai nghe,2,690000,Online,TP. Hồ Chí Minh,2024-03-24,1380000
DH00293,Chuột,1,250000,Online,Cần Thơ,2024-12-15,250000
DH00688,Chuột,4,250000,Online,Bình Dương,2024-08-16,1000000
DH00471,Bàn phím,3,450000,Online,Bình Dương,2024-06-19,1350000
DH00825,Bàn phím,2,450000,Cửa hàng,Đà Nẵng,2024-04-26,900000
DH00575,Ổ cứng SSD,2,1450000,Online,Khánh Hòa,2024-03-27,2900000
DH00047,Màn hình,3,3200000,Online,Cần Thơ,2024-08-22,9600000
DH00299,Chuột,1,250000,Cửa hàng,Lâm Đồng,2024-01-21,250000
DH00438,Webcam,4,890000,Cửa hàng,Khánh Hòa,2024-09-27,3560000
DH00534,Webcam,4,890000,Online,Đà Nẵng,2024-10-06,3560000
DH00830,Chuột,1,250000,Online,Lâm Đồng,2024-04-21,250000
DH00600,Màn hình,3,3200000,Cửa hàng,Đồng Nai,2024-08-31,9600000
DH00093,Tai nghe,1,690000,Online,Khánh Hòa,2024-09-13,690000
DH00145,Tai nghe,1,690000,Online,Đồng Nai,2024-07-25,690000
DH00862,Màn hình,1,3200000,Cửa hàng,Lâm Đồng,2024-10-22,3200000
DH00088,Màn hình,4,3200000,Cửa hàng,Cần Thơ,2024-08-02,12800000
DH00546,Màn hình,2,3200000,Online,Đồng Nai,2024-11-05,6400000
DH00550,Màn hình,3,3200000,Cửa hàng,Cần Thơ,2024-04-26,9600000
DH00411,Màn hình,5,3200000,Online,Đồng Nai,,16000000
DH00032,Tai nghe,3,690000,Online,Không rõ,2024-12-17,2070000
DH00821,Màn hình,1,3200000,Online,Bình Dương,2024-11-14,3200000
DH00656,Ổ cứng SSD,3,1450000,Cửa hàng,Đồng Nai,2024-11-20,4350000
DH00399,Màn hình,1,3200000,Cửa hàng,Bình Dương,2024-11-11,3200000
DH00899,Chuột,2,250000,Online,Không rõ,2024-05-28,500000
DH00838,Màn hình,1,3200000,Online,Đồng Nai,2024-12-20,3200000
DH00106,Màn hình,5,3200000,Cửa hàng,TP. Hồ Chí Minh,2024-12-27,16000000
DH00619,Ổ cứng SSD,2,1450000,Cửa hàng,Khánh Hòa,2024-10-21,2900000
DH00601,Bàn phím,3,450000,Cửa hàng,Hà Nội,2024-12-11,1350000
DH00432,Bàn phím,5,450000,Online,Đồng Nai,2024-03-09,2250000
DH00564,Webcam,2,890000,Online,TP. Hồ Chí Minh,2024-08-30,1780000
DH00317,Bàn phím,5,450000,Online,Khánh Hòa,2024-11-04,2250000
DH00061,Tai nghe,4,690000,Online,Đồng Nai,2024-11-19,2760000
DH00593,Chuột,3,250000,Cửa hàng,Lâm Đồng,2024-05-15,750000
DH00558,Màn hình,5,3200000,Cửa hàng,Cần Thơ,2024-01-18,16000000
DH00379,Chuột,5,250000,Online,Đà Nẵng,2024-03-10,1250000
DH00290,Màn hình,1,3200000,Online,Không rõ,2024-11-05,3200000
DH00421,Bàn phím,3,450000,Cửa hàng,Lâm Đồng,2024-09-14,1350000
